cell_id	cell	seed_block_id	generation	environment_richness	environment_gene_diversity	mean_adult_richness	mean_adult_gene_diversity
p01-s01-c0009	c0009	sb0002	2	136	0.9573881336696819	4.73	0.5254091389767926
p01-s01-c0009	c0009	sb0002	3	136	0.953115719235136	4.35	0.5000671857415828
p01-s01-c0009	c0009	sb0002	4	146	0.957241155514765	4.69	0.5179396770385633
p01-s01-c0009	c0009	sb0002	5	148	0.960143005887681	4.59	0.5333712399791473
p01-s01-c0009	c0009	sb0003	0	100	0.9549670784452735		
p01-s01-c0009	c0009	sb0003	1	114	0.9550336623078819	4.74	0.5461514211339829
p01-s01-c0009	c0009	sb0003	2	120	0.9582543417547512	4.25	0.5216657462842419
p01-s01-c0009	c0009	sb0003	3	139	0.9600328182146799	4.63	0.531974813080609
p01-s01-c0009	c0009	sb0003	4	138	0.9608228482420464	4.53	0.5341325572284624
p01-s01-c0009	c0009	sb0003	5	144	0.961331492619156	4.67	0.5372831174491023
p01-s01-c0010	c0010	sb0001	0	100	0.9549670784452735		
p01-s01-c0010	c0010	sb0001	1	270	0.9566752485653858	15.38	0.5186547527654861
p01-s01-c0010	c0010	sb0001	2	386	0.9572917990372731	14.75	0.5426749114993076
p01-s01-c0010	c0010	sb0001	3	458	0.9546401533504045	14.97	0.5200837337701376
p01-s01-c0010	c0010	sb0001	4	503	0.9549232367978117	14.37	0.5450204887984796
p01-s01-c0010	c0010	sb0001	5	519	0.9547843133616104	14.71	0.5421701147142398
p01-s01-c0010	c0010	sb0002	0	100	0.9549670784452735		
p01-s01-c0010	c0010	sb0002	1	275	0.9549862507799916	14.27	0.5144443683029198
p01-s01-c0010	c0010	sb0002	2	418	0.9573892309397714	14.92	0.5254417759224127
p01-s01-c0010	c0010	sb0002	3	470	0.9531149477257399	14.62	0.5000816032071396
p01-s01-c0010	c0010	sb0002	4	487	0.957241416947137	15.09	0.5179516765974942
p01-s01-c0010	c0010	sb0002	5	522	0.96014489275594	14.87	0.5333634322906416
p01-s01-c0010	c0010	sb0003	0	100	0.9549670784452735		
p01-s01-c0010	c0010	sb0003	1	294	0.955033173941129	14.87	0.5461389069867689
p01-s01-c0010	c0010	sb0003	2	416	0.9582549771828869	14.7	0.5216959478375734
p01-s01-c0010	c0010	sb0003	3	471	0.9600100148159375	14.88	0.5312229702382316
p01-s01-c0010	c0010	sb0003	4	489	0.9609464487705249	14.83	0.5404175637977644
p01-s01-c0010	c0010	sb0003	5	533	0.9626615943779426	14.94	0.5403648650398375
p01-s01-c0011	c0011	sb0001	0	100	0.9549670784452735		
p01-s01-c0011	c0011	sb0001	1	100	0.9549722382012001	3.33	0.5307801855202701
p01-s01-c0011	c0011	sb0001	2	100	0.9549769131893715	3.39	0.5156879845086711
p01-s01-c0011	c0011	sb0001	3	100	0.9549789436441528	3.37	0.53843822706024
p01-s01-c0011	c0011	sb0001	4	100	0.9549705315211313	3.25	0.5141388382067684
p01-s01-c0011	c0011	sb0001	5	100	0.9549680205657801	3.21	0.5270947512215055
p01-s01-c0011	c0011	sb0002	0	100	0.9549670784452735		
p01-s01-c0011	c0011	sb0002	1	100	0.9549660672993795	3.44	0.5343038785308056
p01-s01-c0011	c0011	sb0002	2	100	0.9549625382788837	3.58	0.5780289471537623
p01-s01-c0011	c0011	sb0002	3	100	0.9549556106272492	3.47	0.5299853812697355
p01-s01-c0011	c0011	sb0002	4	100	0.9549649057675248	3.45	0.5365990881549103
p01-s01-c0011	c0011	sb0002	5	100	0.9549689909459083	3.3	0.5284947497544467
p01-s01-c0011	c0011	sb0003	0	100	0.9549670784452735		
p01-s01-c0011	c0011	sb0003	1	100	0.9549655023664602	3.54	0.5320707303867416
p01-s01-c0011	c0011	sb0003	2	100	0.9549667899454425	3.32	0.5413269344260694
p01-s01-c0011	c0011	sb0003	3	100	0.9549709327002842	3.58	0.5514458326094155
p01-s01-c0011	c0011	sb0003	4	100	0.9549784600067309	3.45	0.5362055023212186
p01-s01-c0011	c0011	sb0003	5	100	0.9549792370541593	3.25	0.5245231292492
p01-s01-c0012	c0012	sb0001	0	100	0.9549670784452735		
p01-s01-c0012	c0012	sb0001	1	100	0.9551007725997461	3.414	0.5359418250948071
p01-s01-c0012	c0012	sb0001	2	100	0.954934156746517	3.428	0.5328783330757477
p01-s01-c0012	c0012	sb0001	3	100	0.95573093446526	3.442	0.5369703342583498
p01-s01-c0012	c0012	sb0001	4	100	0.9545402761461182	3.391	0.5314721034500025
p01-s01-c0012	c0012	sb0001	5	100	0.9529517726068352	3.415	0.5385476605972699
p01-s01-c0012	c0012	sb0002	0	100	0.9549670784452735		
p01-s01-c0012	c0012	sb0002	1	100	0.9549663082285524	3.357	0.5226567764699653
p01-s01-c0012	c0012	sb0002	2	100	0.9559977852606519	3.434	0.5443345750934894
p01-s01-c0012	c0012	sb0002	3	100	0.9539208989118241	3.368	0.5277625773253051
